Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Age,Reporting Type,Sex,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Name of non-communicable disease
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,4,Afghanistan,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,1346.1441,787.3945400000008,767.5779345999986,741.7394615999989,701.4893196000002,1102.80976,667.0083469999994,667.2900371999997,665.7418074000013,643.8903354999999,898.66925,594.1872925999996,580.5299686999992,554.3958485000004,539.1987219999995,775.69274,504.9606567999999,455.6066494000007,494.6707819000017,644.27255,460.70068640000034,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,2,Africa,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,727.9217,714.80906,701.99507,676.92064,661.41357,645.57017,628.31434,620.06902,616.50572,604.76801,593.07585,570.07654,555.4345,548.08478,539.1987219999995,526.33196,504.9606567999999,455.6066494000007,494.6707819000017,501.05304,460.70068640000034,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,8,Albania,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,14.32641,12.52553,12.40726,12.11916,10.6316,10.8305,10.76677,10.19582,9.7394,9.09726,8.51668,8.04523,7.7967,7.21536,7.00986,6.87828,6.65608,6.6897,5.42929,5.30502,8.27645,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,12,Algeria,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,159.17568,155.60766,150.39429,153.00684,136.83983,143.5237,134.48117,125.07095,116.51809,114.55362,111.74292,105.46329,99.07579,94.34408,86.15146,89.13265,88.99771,89.14354,79.49121,76.71434,77.69479,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,19,Americas,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,68.38973,68.21005,67.71608,65.57179,65.98718,63.96613,62.53099,63.01703,62.6996,61.14335,59.87991,59.65242,57.19048,57.94688,57.41914,58.25032,59.00703,59.5786,60.22062,61.09401,68.04165,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,24,Angola,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,859.92091,787.3945400000008,758.27183,676.49647,594.19216,549.83896,507.72154,462.97103,438.34228,398.88055,367.26485,334.7313,304.04042,291.41399,291.74735,273.5965,269.82359,252.80485,233.09626,227.68696,221.90649,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,28,Antigua And Barbuda,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,51.29847,47.16184,41.30084,44.10374,43.3603,34.02187,34.88743,33.71821,39.2945,36.80908,30.78419,31.25012,30.21356,28.80692,22.70267,27.16638,21.25147,21.12252,18.86736,18.9132,21.24795,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,32,Argentina,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,71.50375,72.13986,70.94544,78.64037,73.30911,62.69842,61.4496,62.55591,59.45658,56.54385,55.10322,50.25195,45.02484,43.34667,41.76457,39.33507,40.25944,38.24381,33.94483,32.60261,44.90008,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,51,Armenia,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,50.16581,49.56898,48.04569,42.61444,41.58858,37.78068,39.92467,35.86708,33.53167,33.39944,33.2177,31.45806,29.12987,27.19941,27.82422,25.10203,23.8734,25.00067,25.1014,24.938,27.18972,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,142,Asia,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,267.99542,260.65445,242.23122,231.39307,223.33974,211.79821,190.07374,181.80973,172.10442,162.39231,148.39926,144.02736,133.35367,128.98111,120.14042,117.411,112.39975,108.8109,109.69822,109.08057,104.43161,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,36,Australia,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,6.69383,5.97206,5.56837,5.51475,5.11737,4.59569,4.56596,5.1069,4.88985,5.38075,5.45191,5.93745,5.85933,5.99352,5.3902,5.24403,5.17583,4.77144,4.42425,5.08551,2.94151,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,53,Australia And New Zealand,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,7.50514,6.9046,6.40277,6.38998,6.28441,5.55905,5.68912,6.04564,5.72068,6.22104,6.22679,6.69552,6.4715,6.29798,5.79948,5.79665,5.5825,5.19602,4.95659,5.4444,3.65316,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,40,Austria,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,6.36031,6.24352,6.05769,6.2012,5.48865,5.85059,5.54511,5.75491,5.52626,5.97988,5.95376,6.04204,5.74165,5.73881,5.91521,5.67145,5.33615,5.14461,5.82625,5.4957,5.22839,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,31,Azerbaijan,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,55.52084,55.15855,54.01204,50.9451,46.81153,43.89283,38.76129,34.40982,32.7928,33.32893,32.81004,30.73949,29.37341,28.39893,28.97291,29.37786,26.01814,26.89301,27.59978,26.86957,40.76367,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,44,Bahamas,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,60.84164,63.12532,65.82288,68.61497,72.48042,73.90935,79.1916,85.85336,86.19027,89.04466,78.88068,100.57736,101.34579,82.22507,96.98446,84.44531,79.30498,77.33281,77.08031,82.02699,77.05063,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,48,Bahrain,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,24.32399,22.77712,25.28494,25.10136,21.7697,21.16522,20.95311,17.60861,18.25173,18.08349,19.82068,19.37471,18.15974,16.15886,15.16835,15.74704,15.07161,15.38812,13.74495,14.50396,15.89788,,,Unknown
